id,date,region,channel,product_category,customer_segment,ad_spend,price,discount_rate,market_reach,impressions,click_through_rate,competition_index,seasonality_index,campaign_duration_days,customer_lifetime_value,sales_revenue
1,2011-12-05 11:31:00,Nort,Search,General,Standard,9.0,0.75,0.2782,32.0,817,0.001,3.34,0.9999999999999998,30.0,816.49,119.7678114888541
2,2011-04-27 14:01:00,North,Social Media,General,Premium,3.35,3.35,0.0912,61.0,2289,0.064,4.44,0.36602540378443893,90.0,1723.1599999999999,119.40466140445554
3,2010-11-09 15:20:00,North,Affiliate,General,Budget,2.55,2.55,0.1997,461.0,14697,0.1508,3.31,0.36602540378443793,21.0,1151.74,132.0097467605988
4,2010-10-03 15:24:00,North,Affiliate,Storage,Premium,2.95,2.95,0.4767,744.0,17578,0.1965,2.87,-0.3660254037844385,90.0,3585.85,154.51175589761817
5,2011-10-14 09:28:00,North,Search,Lighting,Premium,15.0,1.25,0.3536,226.0,6280,0.02,7.4,-0.3660254037844385,90.0,502.28000000000003,128.05992410668216
6,2011-10-28 07:39:00,North,Email,General,Premium,79.19999999999999,1.65,0.0442,521.0,11484,0.021,3.83,-0.3660254037844385,30.0,32267.58,160.2164720315928
7,2011-06-28 15:44:00,North,Affiliate,Stationery,Premium,10.08,0.42,0.0627,125.0,4495,0.1554,3.3,-0.9999999999999999,30.0,20.16,181.46413709174084
8,2011-11-06 12:23:00,North,Social Media,Storage,Premium,11.25,3.75,0.2257,217.0,3438,0.1389,7.0,0.36602540378443793,60.0,987.36,144.6521074962225
9,2010-04-28 10:02:00,North,Search,Storage,Premium,17.0,8.5,,168.0,3767,0.0316,2.92,0.36602540378443893,7.0,1517.25,93.58093259513586
10,2009-12-20 15:38:00,North,Affiliate,Kitchen,Premium,,0.85,0.1296,266.0,8803,0.0701,0.97,0.9999999999999998,21.0,319.26,204.2856706834431
11,2010-04-20 17:25:00,North,Social Media,General,Premium,6.5,0.65,0.0796,,3461,0.0475,2.42,0.36602540378443893,28.0,,240.78544744366616
12,2011-11-20 15:00:00,North,Social Media,General,Premium,0.85,0.85,0.1494,243.0,5279,0.0573,2.79,0.36602540378443793,7.0,65709.14,189.7308652007753
13,2011-03-03 14:05:00,North,Email,Storage,Premium,16.5,1.65,0.1641,845.0,10960,0.0353,6.13,1.0,14.0,48.95,140.9454149469077
14,2011-05-04 11:32:00,North,Search,Storage,Premium,0.85,0.85,0.1861,356.0,6950,0.2142,3.92,-0.36602540378443876,30.0,6987.43,243.79521875048573
15,2010-12-10 11:19:00,North,Affiliate,General,Premium,20.16,0.42,0.2243,136.0,2756,0.1218,5.79,0.9999999999999998,60.0,13951.97,230.585660072766
16,2010-07-05 12:49:00,North,Email,Stationery,Standard,39.0,1.95,0.3123,658.0,11825,0.0145,2.89,-1.3660254037844386,,97.4,87.7114925344795
17,2011-01-07 10:47:00,North,Social Media,General,Premium,11.25,3.75,0.3241,289.0,6374,0.0449,5.21,1.3660254037844386,30.0,1387.83,114.02328662241972
18,2011-07-01 12:58:00,North,Email,General,Premium,0.78,0.39,0.3485,89.0,3123,0.051,3.45,-1.3660254037844386,14.0,34671.78,159.94077931554634
19,2010-06-07 13:03:00,North,Search,Storage,Premium,16.5,1.65,0.3056,845.0,13993,0.1262,3.41,-0.9999999999999999,28.0,1603.3700000000001,157.0267964306109
20,2011-07-31 12:52:00,North,Search,Seasonal,Standard,13.5,6.75,0.5874,227.0,8793,0.0605,6.01,-1.3660254037844386,90.0,838.8,40.584137237748756
21,2011-04-17 10:27:00,north,TV,Stationery,Premium,5.04,0.42,0.0396,148.0,3832,0.0262,2.0,0.36602540378443893,14.0,21407.11,190.59872472267563
22,2010-11-18 14:52:00,North,Affiliate,General,Premium,1.65,1.65,0.3856,200.0,1940,0.0362,4.56,0.36602540378443793,90.0,26272.27,123.63617514004177
23,2011-10-03 11:34:00,North,Search,General,Premium,1.05,0.21,0.1741,209.0,6704,0.0432,4.16,-0.3660254037844385,28.0,1247.47,330.92592477926786
24,2011-04-19 10:48:00,North,Email,General,Premium,17.4,1.45,0.2539,225.0,3475,0.0335,1.29,0.36602540378443893,30.0,9159.85,160.99962987722546
25,2010-11-15 12:19:00,North,Search,Stationery,Premium,19.5,1.95,0.1783,658.0,20771,0.0443,4.53,0.36602540378443793,90.0,8065.04,175.2754983154072
26,2010-11-15 13:39:00,North,Search,Storage,Premium,0.55,0.55,0.3233,614.0,18253,0.0803,6.0,0.36602540378443793,14.0,2361.9500000000003,235.79753032386907
27,2011-11-07 08:34:00,NORTH,Email,Seasonal,Standard,15.0,1.25,0.1452,158.0,6755,0.1115,4.81,0.36602540378443793,21.0,513.331,145.32551797067023
28,2010-06-08 13:37:00,north,Search,General,Premium,79.19999999999999,1.65,0.2955,35.0,454,0.0569,4.53,-0.9999999999999999,60.0,36223.409999999996,82.8877710695046
